layer,q_head,chosen,best_l2
0,0,DENSE(no_dump),nan
0,1,DENSE(no_dump),nan
0,2,DENSE(no_dump),nan
0,3,DENSE(no_dump),nan
0,4,DENSE(no_dump),nan
0,5,DENSE(no_dump),nan
0,6,DENSE(no_dump),nan
0,7,DENSE(no_dump),nan
0,8,DENSE(no_dump),nan
0,9,DENSE(no_dump),nan
0,10,DENSE(no_dump),nan
0,11,DENSE(no_dump),nan
0,12,DENSE(no_dump),nan
0,13,DENSE(no_dump),nan
0,14,DENSE(no_dump),nan
0,15,DENSE(no_dump),nan
0,16,DENSE(no_dump),nan
0,17,DENSE(no_dump),nan
0,18,DENSE(no_dump),nan
0,19,DENSE(no_dump),nan
0,20,DENSE(no_dump),nan
0,21,DENSE(no_dump),nan
0,22,DENSE(no_dump),nan
0,23,DENSE(no_dump),nan
1,0,DENSE(no_dump),nan
1,1,DENSE(no_dump),nan
1,2,DENSE(no_dump),nan
1,3,DENSE(no_dump),nan
1,4,DENSE(no_dump),nan
1,5,DENSE(no_dump),nan
1,6,DENSE(no_dump),nan
1,7,DENSE(no_dump),nan
1,8,DENSE(no_dump),nan
1,9,DENSE(no_dump),nan
1,10,DENSE(no_dump),nan
1,11,DENSE(no_dump),nan
1,12,DENSE(no_dump),nan
1,13,DENSE(no_dump),nan
1,14,DENSE(no_dump),nan
1,15,DENSE(no_dump),nan
1,16,DENSE(no_dump),nan
1,17,DENSE(no_dump),nan
1,18,DENSE(no_dump),nan
1,19,DENSE(no_dump),nan
1,20,DENSE(no_dump),nan
1,21,DENSE(no_dump),nan
1,22,DENSE(no_dump),nan
1,23,DENSE(no_dump),nan
2,0,DENSE(no_dump),nan
2,1,DENSE(no_dump),nan
2,2,DENSE(no_dump),nan
2,3,DENSE(no_dump),nan
2,4,DENSE(no_dump),nan
2,5,DENSE(no_dump),nan
2,6,DENSE(no_dump),nan
2,7,DENSE(no_dump),nan
2,8,DENSE(no_dump),nan
2,9,DENSE(no_dump),nan
2,10,DENSE(no_dump),nan
2,11,DENSE(no_dump),nan
2,12,DENSE(no_dump),nan
2,13,DENSE(no_dump),nan
2,14,DENSE(no_dump),nan
2,15,DENSE(no_dump),nan
2,16,DENSE(no_dump),nan
2,17,DENSE(no_dump),nan
2,18,DENSE(no_dump),nan
2,19,DENSE(no_dump),nan
2,20,DENSE(no_dump),nan
2,21,DENSE(no_dump),nan
2,22,DENSE(no_dump),nan
2,23,DENSE(no_dump),nan
3,0,BLOCK_SPARSE@0.050,0.0499
3,1,A_SHAPE@s64w1024,0.0295
3,2,A_SHAPE@s64w1024,0.0399
3,3,A_SHAPE@s64w1024,0.0473
3,4,A_SHAPE@s64w1024,0.0489
3,5,A_SHAPE@s64w1024,0.0405
3,6,BLOCK_SPARSE@0.050,0.0369
3,7,BLOCK_SPARSE@0.050,0.0415
3,8,A_SHAPE@s64w1024,0.0297
3,9,BLOCK_SPARSE@0.050,0.0486
3,10,A_SHAPE@s64w1024,0.0348
3,11,BLOCK_SPARSE@0.050,0.0414
3,12,BLOCK_SPARSE@0.050,0.0407
3,13,A_SHAPE@s64w1024,0.0447
3,14,A_SHAPE@s64w1024,0.0375
3,15,A_SHAPE@s64w1024,0.0253
3,16,BLOCK_SPARSE@0.050,0.0278
3,17,A_SHAPE@s64w1024,0.0378
3,18,BLOCK_SPARSE@0.050,0.0426
3,19,BLOCK_SPARSE@0.050,0.0325
3,20,A_SHAPE@s64w1024,0.0290
3,21,BLOCK_SPARSE@0.050,0.0126
3,22,A_SHAPE@s64w1024,0.0316
3,23,BLOCK_SPARSE@0.050,0.0249
4,0,DENSE(no_dump),nan
4,1,DENSE(no_dump),nan
4,2,DENSE(no_dump),nan
4,3,DENSE(no_dump),nan
4,4,DENSE(no_dump),nan
4,5,DENSE(no_dump),nan
4,6,DENSE(no_dump),nan
4,7,DENSE(no_dump),nan
4,8,DENSE(no_dump),nan
4,9,DENSE(no_dump),nan
4,10,DENSE(no_dump),nan
4,11,DENSE(no_dump),nan
4,12,DENSE(no_dump),nan
4,13,DENSE(no_dump),nan
4,14,DENSE(no_dump),nan
4,15,DENSE(no_dump),nan
4,16,DENSE(no_dump),nan
4,17,DENSE(no_dump),nan
4,18,DENSE(no_dump),nan
4,19,DENSE(no_dump),nan
4,20,DENSE(no_dump),nan
4,21,DENSE(no_dump),nan
4,22,DENSE(no_dump),nan
4,23,DENSE(no_dump),nan
5,0,DENSE(no_dump),nan
5,1,DENSE(no_dump),nan
5,2,DENSE(no_dump),nan
5,3,DENSE(no_dump),nan
5,4,DENSE(no_dump),nan
5,5,DENSE(no_dump),nan
5,6,DENSE(no_dump),nan
5,7,DENSE(no_dump),nan
5,8,DENSE(no_dump),nan
5,9,DENSE(no_dump),nan
5,10,DENSE(no_dump),nan
5,11,DENSE(no_dump),nan
5,12,DENSE(no_dump),nan
5,13,DENSE(no_dump),nan
5,14,DENSE(no_dump),nan
5,15,DENSE(no_dump),nan
5,16,DENSE(no_dump),nan
5,17,DENSE(no_dump),nan
5,18,DENSE(no_dump),nan
5,19,DENSE(no_dump),nan
5,20,DENSE(no_dump),nan
5,21,DENSE(no_dump),nan
5,22,DENSE(no_dump),nan
5,23,DENSE(no_dump),nan
6,0,DENSE(no_dump),nan
6,1,DENSE(no_dump),nan
6,2,DENSE(no_dump),nan
6,3,DENSE(no_dump),nan
6,4,DENSE(no_dump),nan
6,5,DENSE(no_dump),nan
6,6,DENSE(no_dump),nan
6,7,DENSE(no_dump),nan
6,8,DENSE(no_dump),nan
6,9,DENSE(no_dump),nan
6,10,DENSE(no_dump),nan
6,11,DENSE(no_dump),nan
6,12,DENSE(no_dump),nan
6,13,DENSE(no_dump),nan
6,14,DENSE(no_dump),nan
6,15,DENSE(no_dump),nan
6,16,DENSE(no_dump),nan
6,17,DENSE(no_dump),nan
6,18,DENSE(no_dump),nan
6,19,DENSE(no_dump),nan
6,20,DENSE(no_dump),nan
6,21,DENSE(no_dump),nan
6,22,DENSE(no_dump),nan
6,23,DENSE(no_dump),nan
7,0,BLOCK_SPARSE@0.050,0.0403
7,1,A_SHAPE@s64w1024,0.0428
7,2,BLOCK_SPARSE@0.050,0.0246
7,3,BLOCK_SPARSE@0.050,0.0260
7,4,BLOCK_SPARSE@0.050,0.0490
7,5,A_SHAPE@s64w1024,0.0416
7,6,A_SHAPE@s64w1024,0.0158
7,7,DENSE(best_was A_SHAPE@s64w1024),0.07635755091905594
7,8,A_SHAPE@s64w1024,0.0069
7,9,BLOCK_SPARSE@0.050,0.0241
7,10,BLOCK_SPARSE@0.050,0.0335
7,11,BLOCK_SPARSE@0.050,0.0245
7,12,BLOCK_SPARSE@0.050,0.0384
7,13,DENSE(best_was VERT_SLASH@V16S8),0.05680127814412117
7,14,BLOCK_SPARSE@0.050,0.0293
7,15,BLOCK_SPARSE@0.050,0.0397
7,16,BLOCK_SPARSE@0.050,0.0327
7,17,BLOCK_SPARSE@0.050,0.0340
7,18,A_SHAPE@s64w1024,0.0455
7,19,A_SHAPE@s64w1024,0.0289
7,20,A_SHAPE@s64w1024,0.0457
7,21,A_SHAPE@s64w1024,0.0222
7,22,A_SHAPE@s64w1024,0.0271
7,23,A_SHAPE@s64w1024,0.0437
8,0,DENSE(no_dump),nan
8,1,DENSE(no_dump),nan
8,2,DENSE(no_dump),nan
