layer,q_head,chosen,best_l2
0,0,DENSE(no_dump),nan
0,1,DENSE(no_dump),nan
0,2,DENSE(no_dump),nan
0,3,DENSE(no_dump),nan
0,4,DENSE(no_dump),nan
0,5,DENSE(no_dump),nan
0,6,DENSE(no_dump),nan
0,7,DENSE(no_dump),nan
0,8,DENSE(no_dump),nan
0,9,DENSE(no_dump),nan
0,10,DENSE(no_dump),nan
0,11,DENSE(no_dump),nan
0,12,DENSE(no_dump),nan
0,13,DENSE(no_dump),nan
0,14,DENSE(no_dump),nan
0,15,DENSE(no_dump),nan
0,16,DENSE(no_dump),nan
0,17,DENSE(no_dump),nan
0,18,DENSE(no_dump),nan
0,19,DENSE(no_dump),nan
0,20,DENSE(no_dump),nan
0,21,DENSE(no_dump),nan
0,22,DENSE(no_dump),nan
0,23,DENSE(no_dump),nan
1,0,DENSE(no_dump),nan
1,1,DENSE(no_dump),nan
1,2,DENSE(no_dump),nan
1,3,DENSE(no_dump),nan
1,4,DENSE(no_dump),nan
1,5,DENSE(no_dump),nan
1,6,DENSE(no_dump),nan
1,7,DENSE(no_dump),nan
1,8,DENSE(no_dump),nan
1,9,DENSE(no_dump),nan
1,10,DENSE(no_dump),nan
1,11,DENSE(no_dump),nan
1,12,DENSE(no_dump),nan
1,13,DENSE(no_dump),nan
1,14,DENSE(no_dump),nan
1,15,DENSE(no_dump),nan
1,16,DENSE(no_dump),nan
1,17,DENSE(no_dump),nan
1,18,DENSE(no_dump),nan
1,19,DENSE(no_dump),nan
1,20,DENSE(no_dump),nan
1,21,DENSE(no_dump),nan
1,22,DENSE(no_dump),nan
1,23,DENSE(no_dump),nan
2,0,DENSE(no_dump),nan
2,1,DENSE(no_dump),nan
2,2,DENSE(no_dump),nan
2,3,DENSE(no_dump),nan
2,4,DENSE(no_dump),nan
2,5,DENSE(no_dump),nan
2,6,DENSE(no_dump),nan
2,7,DENSE(no_dump),nan
2,8,DENSE(no_dump),nan
2,9,DENSE(no_dump),nan
2,10,DENSE(no_dump),nan
2,11,DENSE(no_dump),nan
2,12,DENSE(no_dump),nan
2,13,DENSE(no_dump),nan
2,14,DENSE(no_dump),nan
2,15,DENSE(no_dump),nan
2,16,DENSE(no_dump),nan
2,17,DENSE(no_dump),nan
2,18,DENSE(no_dump),nan
2,19,DENSE(no_dump),nan
2,20,DENSE(no_dump),nan
2,21,DENSE(no_dump),nan
2,22,DENSE(no_dump),nan
2,23,DENSE(no_dump),nan
3,0,A_SHAPE@s64w512,0.0389
3,1,A_SHAPE@s64w512,0.0372
3,2,A_SHAPE@s64w512,0.0503
3,3,A_SHAPE@s64w512,0.0549
3,4,A_SHAPE@s64w512,0.0558
3,5,A_SHAPE@s64w512,0.0496
3,6,A_SHAPE@s64w512,0.0332
3,7,A_SHAPE@s64w512,0.0348
3,8,A_SHAPE@s64w512,0.0452
3,9,A_SHAPE@s64w512,0.0378
3,10,A_SHAPE@s64w512,0.0437
3,11,A_SHAPE@s64w512,0.0319
3,12,A_SHAPE@s64w512,0.0320
3,13,A_SHAPE@s64w512,0.0561
3,14,A_SHAPE@s64w512,0.0591
3,15,A_SHAPE@s64w512,0.0390
3,16,A_SHAPE@s64w512,0.0214
3,17,A_SHAPE@s64w512,0.0537
3,18,A_SHAPE@s64w512,0.0336
3,19,A_SHAPE@s64w512,0.0225
3,20,A_SHAPE@s64w512,0.0421
3,21,A_SHAPE@s64w512,0.0077
3,22,A_SHAPE@s64w512,0.0407
3,23,A_SHAPE@s64w512,0.0137
4,0,DENSE(no_dump),nan
4,1,DENSE(no_dump),nan
4,2,DENSE(no_dump),nan
4,3,DENSE(no_dump),nan
4,4,DENSE(no_dump),nan
4,5,DENSE(no_dump),nan
4,6,DENSE(no_dump),nan
4,7,DENSE(no_dump),nan
4,8,DENSE(no_dump),nan
4,9,DENSE(no_dump),nan
4,10,DENSE(no_dump),nan
4,11,DENSE(no_dump),nan
4,12,DENSE(no_dump),nan
4,13,DENSE(no_dump),nan
4,14,DENSE(no_dump),nan
4,15,DENSE(no_dump),nan
4,16,DENSE(no_dump),nan
4,17,DENSE(no_dump),nan
4,18,DENSE(no_dump),nan
4,19,DENSE(no_dump),nan
4,20,DENSE(no_dump),nan
4,21,DENSE(no_dump),nan
4,22,DENSE(no_dump),nan
4,23,DENSE(no_dump),nan
5,0,DENSE(no_dump),nan
5,1,DENSE(no_dump),nan
5,2,DENSE(no_dump),nan
5,3,DENSE(no_dump),nan
5,4,DENSE(no_dump),nan
5,5,DENSE(no_dump),nan
5,6,DENSE(no_dump),nan
5,7,DENSE(no_dump),nan
5,8,DENSE(no_dump),nan
5,9,DENSE(no_dump),nan
5,10,DENSE(no_dump),nan
5,11,DENSE(no_dump),nan
5,12,DENSE(no_dump),nan
5,13,DENSE(no_dump),nan
5,14,DENSE(no_dump),nan
5,15,DENSE(no_dump),nan
5,16,DENSE(no_dump),nan
5,17,DENSE(no_dump),nan
5,18,DENSE(no_dump),nan
5,19,DENSE(no_dump),nan
5,20,DENSE(no_dump),nan
5,21,DENSE(no_dump),nan
5,22,DENSE(no_dump),nan
5,23,DENSE(no_dump),nan
6,0,DENSE(no_dump),nan
6,1,DENSE(no_dump),nan
6,2,DENSE(no_dump),nan
6,3,DENSE(no_dump),nan
6,4,DENSE(no_dump),nan
6,5,DENSE(no_dump),nan
6,6,DENSE(no_dump),nan
6,7,DENSE(no_dump),nan
6,8,DENSE(no_dump),nan
6,9,DENSE(no_dump),nan
6,10,DENSE(no_dump),nan
6,11,DENSE(no_dump),nan
6,12,DENSE(no_dump),nan
6,13,DENSE(no_dump),nan
6,14,DENSE(no_dump),nan
6,15,DENSE(no_dump),nan
6,16,DENSE(no_dump),nan
6,17,DENSE(no_dump),nan
6,18,DENSE(no_dump),nan
6,19,DENSE(no_dump),nan
6,20,DENSE(no_dump),nan
6,21,DENSE(no_dump),nan
6,22,DENSE(no_dump),nan
6,23,DENSE(no_dump),nan
7,0,A_SHAPE@s64w512,0.0272
7,1,A_SHAPE@s64w512,0.0541
7,2,A_SHAPE@s64w512,0.0195
7,3,A_SHAPE@s64w512,0.0206
7,4,A_SHAPE@s64w512,0.0334
7,5,A_SHAPE@s64w512,0.0644
7,6,A_SHAPE@s64w512,0.0399
7,7,A_SHAPE@s64w1024,0.0764
7,8,A_SHAPE@s64w512,0.0770
7,9,A_SHAPE@s64w512,0.0118
7,10,A_SHAPE@s64w512,0.0224
7,11,A_SHAPE@s64w512,0.0127
7,12,A_SHAPE@s64w512,0.0262
7,13,A_SHAPE@s64w512,0.0740
7,14,A_SHAPE@s64w512,0.0188
7,15,A_SHAPE@s64w512,0.0315
7,16,A_SHAPE@s64w512,0.0230
7,17,A_SHAPE@s64w512,0.0226
7,18,A_SHAPE@s64w512,0.0544
7,19,A_SHAPE@s64w512,0.0516
7,20,A_SHAPE@s64w512,0.0584
7,21,A_SHAPE@s64w512,0.0477
7,22,A_SHAPE@s64w512,0.0492
7,23,A_SHAPE@s64w512,0.0641
8,0,DENSE(no_dump),nan
8,1,DENSE(no_dump),nan
8,2,DENSE(no_dump),nan
8,3,DENSE(no_dump),nan
8,4,DENSE(no_dump),nan
8,5,DENSE(no_dump),nan
8,6,DENSE(no_dump),nan
8,7,DENSE(no_dump),nan
8,8,DENSE(no_dump),nan
8,9,DENSE(no_dump),nan
