layer,q_head,chosen_budget,best_l2
0,0,DENSE,nan
0,1,DENSE,nan
0,2,DENSE,nan
0,3,DENSE,nan
0,4,DENSE,nan
0,5,DENSE,nan
0,6,DENSE,nan
0,7,DENSE,nan
0,8,DENSE,nan
0,9,DENSE,nan
0,10,DENSE,nan
0,11,DENSE,nan
0,12,DENSE,nan
0,13,DENSE,nan
0,14,DENSE,nan
0,15,DENSE,nan
1,0,DENSE,nan
1,1,DENSE,nan
1,2,DENSE,nan
1,3,DENSE,nan
1,4,DENSE,nan
1,5,DENSE,nan
1,6,DENSE,nan
1,7,DENSE,nan
1,8,DENSE,nan
1,9,DENSE,nan
1,10,DENSE,nan
1,11,DENSE,nan
1,12,DENSE,nan
1,13,DENSE,nan
1,14,DENSE,nan
1,15,DENSE,nan
2,0,DENSE,nan
2,1,DENSE,nan
2,2,DENSE,nan
2,3,DENSE,nan
2,4,DENSE,nan
2,5,DENSE,nan
2,6,DENSE,nan
2,7,DENSE,nan
2,8,DENSE,nan
2,9,DENSE,nan
2,10,DENSE,nan
2,11,DENSE,nan
2,12,DENSE,nan
2,13,DENSE,nan
2,14,DENSE,nan
2,15,DENSE,nan
3,0,BLOCK_SPARSE@0.050,0.0173
3,1,BLOCK_SPARSE@0.050,0.0560
3,2,BLOCK_SPARSE@0.050,0.0294
3,3,BLOCK_SPARSE@0.050,0.0368
3,4,BLOCK_SPARSE@0.050,0.0610
3,5,BLOCK_SPARSE@0.050,0.0333
3,6,BLOCK_SPARSE@0.050,0.0623
3,7,BLOCK_SPARSE@0.050,0.0355
3,8,BLOCK_SPARSE@0.050,0.0390
3,9,BLOCK_SPARSE@0.050,0.0520
3,10,BLOCK_SPARSE@0.050,0.0184
3,11,BLOCK_SPARSE@0.050,0.0644
3,12,BLOCK_SPARSE@0.050,0.0282
3,13,BLOCK_SPARSE@0.050,0.0251
3,14,BLOCK_SPARSE@0.050,0.0260
3,15,BLOCK_SPARSE@0.050,0.0230
4,0,DENSE,nan
4,1,DENSE,nan
4,2,DENSE,nan
4,3,DENSE,nan
4,4,DENSE,nan
4,5,DENSE,nan
4,6,DENSE,nan
4,7,DENSE,nan
4,8,DENSE,nan
4,9,DENSE,nan
4,10,DENSE,nan
4,11,DENSE,nan
4,12,DENSE,nan
4,13,DENSE,nan
4,14,DENSE,nan
4,15,DENSE,nan
5,0,DENSE,nan
5,1,DENSE,nan
5,2,DENSE,nan
5,3,DENSE,nan
5,4,DENSE,nan
5,5,DENSE,nan
5,6,DENSE,nan
5,7,DENSE,nan
5,8,DENSE,nan
5,9,DENSE,nan
5,10,DENSE,nan
5,11,DENSE,nan
5,12,DENSE,nan
5,13,DENSE,nan
5,14,DENSE,nan
5,15,DENSE,nan
6,0,DENSE,nan
6,1,DENSE,nan
6,2,DENSE,nan
6,3,DENSE,nan
6,4,DENSE,nan
6,5,DENSE,nan
6,6,DENSE,nan
6,7,DENSE,nan
6,8,DENSE,nan
6,9,DENSE,nan
6,10,DENSE,nan
6,11,DENSE,nan
6,12,DENSE,nan
6,13,DENSE,nan
6,14,DENSE,nan
6,15,DENSE,nan
7,0,BLOCK_SPARSE@0.050,0.0942
7,1,BLOCK_SPARSE@0.050,0.0652
7,2,BLOCK_SPARSE@0.050,0.0974
7,3,BLOCK_SPARSE@0.100,0.0759
7,4,BLOCK_SPARSE@0.050,0.0887
7,5,BLOCK_SPARSE@0.100,0.0652
7,6,BLOCK_SPARSE@0.050,0.0891
7,7,BLOCK_SPARSE@0.050,0.0800
7,8,BLOCK_SPARSE@0.050,0.0845
7,9,BLOCK_SPARSE@0.050,0.0716
7,10,BLOCK_SPARSE@0.050,0.0608
7,11,BLOCK_SPARSE@0.050,0.0566
7,12,BLOCK_SPARSE@0.100,0.0815
7,13,BLOCK_SPARSE@0.050,0.0937
7,14,BLOCK_SPARSE@0.100,0.0547
7,15,BLOCK_SPARSE@0.050,0.0912
8,0,DENSE,nan
8,1,DENSE,nan
8,2,DENSE,nan
8,3,DENSE,nan
8,4,DENSE,nan
8,5,DENSE,nan
8,6,DENSE,nan
8,7,DENSE,nan
8,8,DENSE,nan
8,9,DENSE,nan
8,10,DENSE,nan
8,11,DENSE,nan
8,12,DENSE,nan
8,13,DENSE,nan
8,14,DENSE,nan
8,15,DENSE,nan
9,0,DENSE,nan
9,1,DENSE,nan
9,2,DENSE,nan
9,3,DENSE,nan
9,4,DENSE,nan
9,5,DENSE,nan
9,6,DENSE,nan
9,7,DENSE,nan
9,8,DENSE,nan
9,9,DENSE,nan
9,10,DENSE,nan
9,11,DENSE,nan
9,12,DENSE,nan
9,13,DENSE,nan
9,14,DENSE,nan
9,15,DENSE,nan
10,0,DENSE,nan
10,1,DENSE,nan
10,2,DENSE,nan
10,3,DENSE,nan
10,4,DENSE,nan
10,5,DENSE,nan
10,6,DENSE,nan
10,7,DENSE,nan
10,8,DENSE,nan
10,9,DENSE,nan
10,10,DENSE,nan
10,11,DENSE,nan
10,12,DENSE,nan
10,13,DENSE,nan
10,14,DENSE,nan
10,15,DENSE,nan
11,0,BLOCK_SPARSE@0.400,0.0957
11,1,BLOCK_SPARSE@0.400,0.0854
11,2,DENSE,0.1136997640132904
11,3,BLOCK_SPARSE@0.200,0.0960
11,4,BLOCK_SPARSE@0.400,0.0829
11,5,DENSE,0.10759254544973373
11,6,DENSE,0.10267064720392227
11,7,DENSE,0.10084730386734009
11,8,BLOCK_SPARSE@0.400,0.0891
11,9,BLOCK_SPARSE@0.200,0.0880
11,10,BLOCK_SPARSE@0.200,0.0881
11,11,BLOCK_SPARSE@0.200,0.0976
11,12,BLOCK_SPARSE@0.400,0.0939
11,13,DENSE,0.10811620205640793
11,14,DENSE,0.1221332922577858
11,15,DENSE,0.10424653440713882
12,0,DENSE,nan
12,1,DENSE,nan
12,2,DENSE,nan
12,3,DENSE,nan
12,4,DENSE,nan
12,5,DENSE,nan
12,6,DENSE,nan
12,7,DENSE,nan
12,8,DENSE,nan
12,9,DENSE,nan
12,10,DENSE,nan
12,11,DENSE,nan
12,12,DENSE,nan
12,13,DENSE,nan
12,14,DENSE,nan
12,15,DENSE,nan
13,0,DENSE,nan
13,1,DENSE,nan
13,2,DENSE,nan
13,3,DENSE,nan
13,4,DENSE,nan
13,5,DENSE,nan
13,6,DENSE,nan
13,7,DENSE,nan
13,8,DENSE,nan
13,9,DENSE,nan
13,10,DENSE,nan
13,11,DENSE,nan
13,12,DENSE,nan
13,13,DENSE,nan
13,14,DENSE,nan
13,15,DENSE,nan
14,0,DENSE,nan
14,1,DENSE,nan
14,2,DENSE,nan
14,3,DENSE,nan
14,4,DENSE,nan
14,5,DENSE,nan
14,6,DENSE,nan
14,7,DENSE,nan
14,8,DENSE,nan
14,9,DENSE,nan
14,10,DENSE,nan
14,11,DENSE,nan
14,12,DENSE,nan
14,13,DENSE,nan
14,14,DENSE,nan
14,15,DENSE,nan
15,0,BLOCK_SPARSE@0.400,0.0829
15,1,DENSE,0.10351386666297913
15,2,BLOCK_SPARSE@0.400,0.0959
15,3,BLOCK_SPARSE@0.400,0.0808
15,4,BLOCK_SPARSE@0.400,0.0899
15,5,BLOCK_SPARSE@0.200,0.0999
